駅名,住所
鶴ヶ坂駅,青森県青森市大字鶴ケ坂字川合９１
白坂駅,福島県白河市白坂大倉矢見８６
庭坂駅,福島県福島市町庭坂字狐林１０
花水坂駅,福島県福島市飯坂町字町裏５－１
蒲須坂駅,栃木県さくら市蒲須坂６９８
赤坂駅,東京都港区赤坂５丁目４－５
高坂駅,埼玉県東松山市大字高坂１３３４
赤坂駅,群馬県前橋市上泉町３４４４－３
八坂駅,東京都東村山市栄町３丁目１８－１
神楽坂駅,東京都新宿区矢来町１１２
宮の坂駅,東京都世田谷区宮坂１丁目２４－７
牛込神楽坂駅,東京都新宿区箪笥町１５
婦中鵜坂駅,富山県富山市婦中町西本郷１１６２－３
発坂駅,福井県勝山市鹿谷町保田９７－８
赤坂駅,山梨県都留市四日市場８７－２
長坂駅,山梨県北杜市長坂町長坂上条２５７５
須坂駅,長野県須坂市大字須坂１２８８－２
北須坂駅,長野県須坂市大字小河原２１２９－４
八坂駅,岐阜県郡上市美並町上田２０４６－５
東赤坂駅,岐阜県安八郡神戸町大字中沢１２４－６
飛騨小坂駅,岐阜県下呂市小坂町大島
美濃赤坂駅,岐阜県大垣市赤坂町１５３－１
尼ヶ坂駅,愛知県名古屋市北区大杉１丁目２０２２
茶屋ヶ坂駅,愛知県名古屋市千種区茶屋が坂１丁目２１１６
名電赤坂駅,愛知県豊川市赤坂町松本１８１
江坂駅,大阪府吹田市豊津町１００
聖天坂駅,大阪府大阪市西成区天神ノ森１丁目１１
浜坂駅,兵庫県美方郡新温泉町浜坂２３３０－１
黒坂駅,鳥取県日野郡日野町黒坂１５７３
黒坂駅,広島県安芸郡坂町平成ヶ浜３丁目１－１
戸坂駅,広島県広島市東区戸坂惣田１丁目１７
三良坂駅,広島県三次市三良坂町三良坂９８９－２
備後赤坂駅,広島県福山市赤坂町大字赤坂１２２６
赤坂駅,福岡県福岡市中央区大名２丁目５−番31号
味坂駅,福岡県小郡市赤川２３
桜坂駅,福岡県福岡市中央区桜坂３丁目８−１
三間坂駅,佐賀県武雄市山内町大字三間坂１４０５７
韓々坂駅,熊本県熊本市西区上熊本３丁目５５２
田原坂駅,熊本県熊本市北区植木町轟１６８７